SHOE_NAME,Arch Support,Arch Type,Brand,Cushioning,Flexibility,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Pronation,Release Date,Strike Pattern,Terrain,Toebox,Waterproofing,Weight (oz),Widths Available
New Balance 840 v3,Neutral,High,New Balance,,,22.0,34.0,12.0,120.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,12.6,"{Standard, Wide, Extra Wide}"
Reebok Floatride Run Fast 3,Neutral,High,Reebok,Balanced,Balanced,,,8.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.0,{Standard}
Saucony Endorphin Speed 3 RunShield,Neutral,High,Saucony,Balanced,Balanced,28.0,36.0,8.0,180.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Road,Medium,Water Repellent,8.1,{Standard}
Reebok Energylux 3,Neutral,High,Reebok,Plush,Semi-Flexible,,,,50.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Wide,,,{Standard}
Brooks Adrenaline GTS 18,Motion control,Low,Brooks,,,17.0,29.0,12.0,120.00,{Severe Overpronation},,{Heel},Road,,,10.0,"{Standard, Wide}"
Vibram FiveFingers V-Trail,Neutral,High,Vibram FiveFingers,,,7.0,7.0,0.0,120.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Trail,,,6.4,{Standard}
PUMA Cell Descend,Neutral,High,PUMA,Plush,Semi-Flexible,,,,90.00,"{Supination, Underpronation, Neutral}",2019,{},Road,Medium,,,{}
Inov-8 Trail Talon 235,Neutral,High,Inov-8,,,7.0,11.0,4.0,115.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Trail,,,8.3,"{Standard, Wide}"
Skechers GOrun Razor Excess 2,Neutral,High,Skechers,Balanced,Balanced,26.0,30.0,4.0,140.00,"{Supination, Underpronation, Neutral}",2023,{},Road,Narrow,,7.9,{Standard}
New Balance FuelCell RC Elite,Neutral,High,New Balance,Balanced,,25.0,35.0,10.0,225.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,,,7.3,{Standard}
Nike React Miler 2 Shield,Neutral,High,Nike,Plush,Balanced,23.0,33.0,10.0,160.00,"{Supination, Underpronation, Neutral}",2023,{},Road,Narrow,Waterproof,11.3,{Standard}
ASICS Gel Contend 4,Neutral,High,ASICS,,,12.0,22.0,10.0,70.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,10.5,{Standard}
ASICS GT 800,Stability,Low,ASICS,Balanced,,,,8.0,90.00,{Overpronation},2022,"{Forefoot, Midfoot, Heel}",Road,,,,"{Narrow, Standard}"
Hoka Clifton 4,Neutral,High,Hoka,,,24.0,29.0,5.0,130.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,9.3,{Standard}
Columbia FKT,Neutral,High,Columbia,Plush,Semi-Rigid,10.0,18.0,8.0,125.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Medium,,10.8,{Standard}
Merrell MTL Long Sky,Neutral,High,Merrell,Plush,Semi-Flexible,19.0,27.0,8.0,130.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Medium,,9.9,{Standard}
Hoka Speedgoat 4 GTX,Neutral,High,Hoka,Balanced,Rigid,28.0,32.0,4.0,160.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Trail,Medium,Waterproof,10.2,{Standard}
La Sportiva Blizzard GTX,Neutral,High,La Sportiva,Balanced,Semi-Flexible,12.0,18.0,6.0,199.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Trail,Medium,Waterproof,13.1,{Standard}
Nike Revolution 5 FlyEase,Neutral,High,Nike,Plush,Semi-Flexible,,,,65.00,"{Supination, Underpronation, Neutral}",2019,{},Road,Medium,,12.0,"{Standard, Wide}"
Nike Air Zoom Pegasus 38 FlyEase,Neutral,High,Nike,Plush,Semi-Flexible,,,,120.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Medium,,,"{Standard, Extra Wide}"
Nike Zoom Vaporfly 4%,Neutral,High,Nike,Plush,Semi-Rigid,29.0,39.0,10.0,250.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,6.5,{Standard}
ASICS Gel Torrance 2,Neutral,High,ASICS,Balanced,Semi-Flexible,,,,65.00,"{Supination, Underpronation, Neutral}",2020,{},Road,Medium,,9.2,{Standard}
Nike Air Zoom Terra Kiger 6,Neutral,High,Nike,Firm,Semi-Flexible,11.0,15.0,4.0,130.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Trail,Medium,,10.3,{Standard}
Saucony Peregrine 10,Neutral,High,Saucony,Plush,Balanced,18.0,22.0,4.0,120.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Trail,Narrow,,10.7,{Standard}
Salomon Predict Soc,Stability,Low,Salomon,,Semi-Flexible,,,8.0,130.00,{Overpronation},2020,"{Forefoot, Midfoot, Heel}",Road,,,9.1,{Standard}
Altra Provision 4.0,Stability,Low,Altra,Balanced,Semi-Flexible,27.0,27.0,0.0,130.00,{Overpronation},2020,"{Forefoot, Midfoot}",Road,Wide,,8.2,{Standard}
Nike Flex Run 2021,Neutral,High,Nike,Firm,Flexible,,,,80.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Wide,,,{Standard}
Salomon Speedcross Vario 2,Neutral,High,Salomon,,,19.0,29.0,10.0,140.00,"{Supination, Underpronation, Neutral}",,{Heel},Trail,,,10.9,{Standard}
Adidas Purebounce+,Neutral,High,Adidas,,,15.0,23.0,8.0,100.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,,,10.9,{Standard}
Nike Free RN CMTR,Neutral,High,Nike,,,20.0,24.0,4.0,110.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,8.3,{Standard}
NOBULL Runner+,Neutral,High,NoBull,Balanced,Balanced,25.0,35.0,10.0,179.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Wide,,7.6,{Standard}
Nike Air Max Sequent 3,Neutral,High,Nike,,,,,,100.00,"{Supination, Underpronation, Neutral}",,{},Road,,,12.0,{Standard}
Nike Flex Experience RN 7,Neutral,High,Nike,,,,,6.0,65.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,,,9.1,"{Standard, Extra Wide}"
Under Armour HOVR Machina Off Road,Neutral,High,Under Armour,Plush,Semi-Flexible,,,8.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,10.5,{Standard}
Brooks Ghost 9,Neutral,High,Brooks,,,18.0,30.0,12.0,120.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,10.6,{Standard}
ASICS HyperGel SAI,Neutral,High,ASICS,,,,,6.5,120.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,,,10.3,{}
Under Armour Surge,Neutral,High,Under Armour,Plush,,,,8.0,60.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.9,{Standard}
La Sportiva Cyklon Cross GTX,Neutral,High,La Sportiva,Firm,Balanced,20.0,28.0,8.0,245.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Trail,Narrow,Water Repellent,11.8,{Standard}
Hoka Evo Speedgoat,Neutral,High,Hoka,Plush,Rigid,28.0,32.0,4.0,160.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Trail,Narrow,,9.3,{Standard}
La Sportiva Wildcat 2.0 GTX,Neutral,High,La Sportiva,,,10.0,22.0,12.0,155.00,"{Supination, Underpronation, Neutral}",,{Heel},Trail,,Waterproof,14.1,{Standard}
Adidas Runfalcon 2.0,Neutral,High,Adidas,Balanced,Balanced,,,10.5,60.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,,{}
PUMA Cell Regulate Woven,Neutral,High,PUMA,,,,,,65.00,"{Supination, Underpronation, Neutral}",2019,{},Road,,,,"{Standard, Wide}"
Nike Air Zoom Vomero 15,Neutral,High,Nike,Firm,Balanced,22.0,32.0,10.0,140.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,10.4,{Standard}
Salomon S-Lab Pulsar,Neutral,High,Salomon,Plush,Semi-Flexible,17.0,23.0,6.0,180.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,6.0,"{Narrow, Standard}"
New Balance Fresh Foam X 880 v13,Neutral,,New Balance,Balanced,Balanced,27.0,37.0,10.0,140.00,{},2023,"{Forefoot, Midfoot, Heel}",Road,Narrow,,10.6,"{Narrow, Standard, Wide, Extra Wide}"
Skechers GOrun Max Cushioning Premier,Neutral,High,Skechers,Plush,Semi-Flexible,44.0,50.0,6.0,89.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.1,"{Standard, Extra Wide}"
Hoka Bondi 5,Neutral,High,Hoka,Plush,Balanced,29.0,33.0,4.0,150.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,Medium,,10.0,{Standard}
Adidas Terrex Skychaser,Stability,Low,Adidas,,,17.0,23.0,6.0,160.00,{Overpronation},,"{Forefoot, Midfoot, Heel}",Trail,,,11.5,{Standard}
Adidas Fluidstreet,Neutral,High,Adidas,Plush,,,,,65.00,"{Supination, Underpronation, Neutral}",2021,{},Road,,,,{Standard}
Nike LunarGlide 7,Stability,Low,Nike,,,15.0,25.0,10.0,125.00,{Overpronation},,{Heel},Road,,,9.1,{Standard}
Adidas Duramo 9,Neutral,High,Adidas,Plush,Semi-Flexible,14.0,24.0,10.0,65.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,9.9,"{Standard, Wide}"
New Balance 860 v10,Stability,Low,New Balance,Firm,Semi-Flexible,,,10.0,130.00,{Overpronation},2019,{Heel},Road,Medium,,11.8,"{Narrow, Standard, Wide}"
Salomon Speedcross 4 GTX,Neutral,High,Salomon,,,20.0,30.0,10.0,160.00,"{Supination, Underpronation, Neutral}",,{Heel},Trail,,Waterproof,11.6,{Standard}
Mizuno Wave Inspire 16 Waveknit,Stability,Low,Mizuno,Plush,Semi-Flexible,20.0,32.0,12.0,135.00,{Overpronation},2020,{Heel},Road,Narrow,,10.1,{Standard}
Nike Odyssey React Shield 2,Neutral,High,Nike,Plush,Semi-Flexible,18.0,28.0,10.0,130.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Narrow,Water Repellent,11.0,{Standard}
Adidas Galaxy 6,Neutral,High,Adidas,Plush,Balanced,,,,60.00,"{Supination, Underpronation, Neutral}",2023,{},Road,Narrow,,,{Standard}
Nike Air Zoom Winflo 6,Stability,Low,Nike,Plush,Semi-Flexible,,,10.0,90.00,{Overpronation},2019,{Heel},Road,Medium,,11.0,"{Standard, Extra Wide}"
Adidas Galaxy 4,Neutral,High,Adidas,Balanced,Semi-Flexible,,,,40.00,"{Supination, Underpronation, Neutral}",2019,{},Road,Medium,,,{Standard}
Adidas Pulseboost HD Winter,Neutral,High,Adidas,Plush,Semi-Flexible,10.0,18.0,8.0,140.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,Water Repellent,12.0,{Standard}
Salomon Glide Max,Neutral,High,Salomon,Plush,Semi-Flexible,27.4,37.4,10.0,150.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Wide,,9.7,{Standard}
New Balance Fresh Foam Cruz v2 Knit,Neutral,High,New Balance,Plush,Semi-Flexible,,,8.0,85.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.8,{Standard}
Inov-8 F-Lite 245,Neutral,High,Inov-8,Balanced,,6.0,9.0,3.0,150.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Medium,,8.6,"{Standard, Wide}"
Scott Supertrac RC 2,Neutral,High,Scott,Balanced,Balanced,18.0,23.0,5.0,160.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Trail,Wide,Water Repellent,9.5,{Standard}
Adidas Terrex Agravic Tech Pro,Neutral,High,Adidas,Firm,Balanced,,,8.0,250.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Trail,Medium,Water Repellent,14.8,{Standard}
Nike Run Swift,Neutral,High,Nike,Balanced,Semi-Flexible,,,,70.00,"{Supination, Underpronation, Neutral}",2020,{},Road,Medium,,9.5,{}
Nike Air Zoom Pegasus 36 Trail,Neutral,High,Nike,Plush,Balanced,18.0,28.0,10.0,130.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Trail,Medium,,9.5,{Standard}
Hoka Clifton 3,Neutral,High,Hoka,,,24.0,29.0,5.0,130.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,8.6,{Standard}
ASICS GT 1000 6,Stability,Low,ASICS,,,12.0,22.0,10.0,90.00,{Overpronation},,{Heel},Road,,,10.2,"{Standard, Extra Wide}"
Jordan Air Zoom 85 Runner,Neutral,High,Jordan,Balanced,Semi-Flexible,,,,100.00,"{Supination, Underpronation, Neutral}",2020,{},Road,Medium,,,{Standard}
Inov-8 Trailroc G 280,Neutral,High,Inov-8,,,20.0,28.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,,,9.9,{Standard}
New Balance Fresh Foam Beacon,Neutral,High,New Balance,Plush,Semi-Flexible,,,6.0,120.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.5,"{Standard, Wide}"
Altra Timp 1.5,Neutral,High,Altra,Plush,Semi-Flexible,24.0,24.0,0.0,130.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Trail,Wide,,11.0,{Standard}
ASICS Gel Noosa Tri 9,Stability,Low,ASICS,,,,,10.0,140.00,{Overpronation},,{Heel},Road,,,9.9,{Standard}
New Balance 510 v3,Neutral,High,New Balance,,,,,12.0,70.00,"{Supination, Underpronation, Neutral}",,{Heel},Trail,,,12.3,"{Standard, Extra Wide}"
Brooks Transcend 7,Stability,Low,Brooks,Plush,Semi-Flexible,,,10.0,160.00,{Overpronation},2020,{Heel},Road,Medium,,10.7,{Standard}
Vibram FiveFingers EL-X,Neutral,High,Vibram FiveFingers,,,,,0.0,80.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,4.2,"{Narrow, Standard}"
Nike Downshifter 6,Neutral,High,Nike,,,26.0,38.0,12.0,60.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,9.4,{Standard}
Under Armour HOVR Machina 3,Neutral,High,Under Armour,Balanced,Semi-Rigid,,,6.5,150.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,10.6,{}
New Balance Fresh Foam Arishi v2,Neutral,High,New Balance,,,,,8.0,70.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,,,9.0,{Standard}
361 Degrees Strata 3,Stability,Low,361 Degrees,,,13.0,21.0,8.0,155.00,{Overpronation},2019,"{Forefoot, Midfoot, Heel}",Road,,,12.3,{Standard}
Hoka Elevon,Neutral,High,Hoka,,,28.0,33.0,5.0,160.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,10.5,{Standard}
Brooks Anthem,Neutral,High,Brooks,,,,,4.0,85.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,8.4,{Standard}
Inov-8 Mudclaw G 260,Neutral,High,Inov-8,,,5.0,9.0,4.0,150.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Trail,,,9.2,"{Narrow, Standard}"
Nike Air Zoom Pegasus 35,Neutral,High,Nike,Plush,Semi-Flexible,19.0,29.0,10.0,120.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,10.1,"{Standard, Wide, Extra Wide}"
Salomon Aero Blaze,Neutral,,Salomon,Firm,Semi-Rigid,24.0,32.0,8.0,140.00,{},2023,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.7,{Standard}
Brooks Pureflow 7,Neutral,High,Brooks,,,20.0,24.0,4.0,100.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,8.9,{Standard}
Hoka Speedgoat 3,Neutral,High,Hoka,Plush,Rigid,28.0,32.0,4.0,140.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Trail,Narrow,,10.3,{Standard}
Hoka Challenger 6 ATR GTX,Neutral,High,Hoka,Plush,Balanced,26.0,31.0,5.0,140.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Wide,Waterproof,10.5,{Standard}
Adidas 90s Valasion,Neutral,High,Adidas,Plush,Balanced,,,,80.00,"{Supination, Underpronation, Neutral}",2020,{},Road,Medium,,,"{Standard, Wide}"
Hoka Mach 3,Neutral,High,Hoka,Balanced,Semi-Flexible,22.0,27.0,5.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Narrow,,8.6,{Standard}
Arc'teryx Norvan SL,Neutral,High,Arc'teryx,Balanced,Semi-Flexible,14.0,21.0,7.0,150.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Trail,Medium,,6.5,{Standard}
New Balance Fresh Foam 1080 v9,Neutral,High,New Balance,Plush,Semi-Flexible,22.0,30.0,8.0,150.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.4,"{Standard, Extra Wide}"
Under Armour SpeedForm Gemini 2,Neutral,High,Under Armour,,,26.0,34.0,8.0,130.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,,,10.4,{Standard}
Altra Escalante Racer 19,Neutral,High,Altra,Balanced,Semi-Flexible,22.0,22.0,0.0,140.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Wide,,6.8,{Standard}
Skechers GOrun Forza 4 Hyper,Stability,Low,Skechers,Balanced,Semi-Flexible,24.0,30.0,6.0,145.00,{Overpronation},2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.6,{Standard}
Brooks Ghost 8,Neutral,High,Brooks,,,,,10.5,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,10.3,{}
Altra Olympus 3.5,Neutral,High,Altra,Plush,Semi-Flexible,,,0.0,150.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Trail,Extra Wide,,10.7,{Standard}
New Balance Fresh Foam Hierro v6 GTX,Neutral,High,New Balance,Plush,Balanced,20.0,28.0,8.0,160.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Trail,Medium,Water Repellent,12.2,{Standard}
Adidas Adizero RC 2,Neutral,High,Adidas,Balanced,Semi-Flexible,14.0,24.0,10.0,100.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,8.1,{Standard}
Mizuno Wave Prodigy,Neutral,High,Mizuno,,,18.0,30.0,12.0,125.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,10.8,{Standard}
Nike Air Max Sequent 2,Neutral,High,Nike,,,,,14.0,100.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,11.0,{Standard}
Nike Air Zoom Pegasus 36 Shield,Neutral,High,Nike,Balanced,Semi-Flexible,,,10.0,130.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Narrow,Water Repellent,11.0,{Standard}
Nike Odyssey React Shield,Neutral,High,Nike,,,18.0,28.0,10.0,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,Water Repellent,8.8,{Standard}
Salomon Sense Ride 3,Neutral,High,Salomon,Plush,Semi-Flexible,,,8.0,120.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Medium,,9.9,{Standard}
Merrell Mag-9,Neutral,High,Merrell,Balanced,Semi-Flexible,16.0,20.0,4.0,120.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Trail,Medium,,16.2,{Standard}
361 Degrees Meraki 2,Neutral,High,361 Degrees,Plush,Semi-Flexible,18.0,27.0,9.0,130.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,9.3,{Standard}
The North Face Ultra 109 GTX,Stability,Low,The North Face,,,,,12.0,120.00,{Overpronation},,{Heel},Trail,,Waterproof,15.4,{Standard}
Topo Athletic Phantom,Neutral,High,Topo Athletic,,,25.0,30.0,5.0,130.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,,,10.2,"{Standard, Wide}"
Hoka Hupana Flow,Neutral,High,Hoka,Balanced,Semi-Flexible,,,5.0,115.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Medium,,8.9,{Standard}
361 Degrees Sensation 4,Stability,Low,361 Degrees,Plush,Semi-Flexible,17.0,26.0,9.0,135.00,{Overpronation},2019,{Heel},Road,Medium,,10.3,{Standard}
Adidas Terrex Tracerocker,Neutral,High,Adidas,,,,,,80.00,"{Supination, Underpronation, Neutral}",,{},Trail,,,10.0,{Standard}
Saucony Zealot ISO 3,Neutral,High,Saucony,,,22.0,26.0,4.0,130.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,8.5,{Standard}
The North Face Ultra Traction Futurelight,Neutral,High,The North Face,Balanced,Semi-Flexible,18.0,24.0,6.0,155.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Medium,Waterproof,12.0,{Standard}
Adidas Terrex Tracerocker GTX,Neutral,High,Adidas,,,,,,110.00,"{Supination, Underpronation, Neutral}",,{},Trail,,Waterproof,11.1,{Standard}
Under Armour HOVR Phantom SE,Neutral,High,Under Armour,Plush,Semi-Flexible,16.0,24.0,8.0,140.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.6,{Standard}
Nike Flex Experience RN 9,Neutral,High,Nike,Plush,Flexible,,,,65.00,"{Supination, Underpronation, Neutral}",2020,{},Road,Medium,,8.0,"{Standard, Extra Wide}"
Inov-8 X-Talon Ultra 260 V2,Neutral,,Inov-8,Balanced,Balanced,8.0,16.0,8.0,165.00,{},2023,{},Trail,Wide,,9.2,"{Standard, Wide}"
Nike Renew Serenity Run,Neutral,High,Nike,Plush,,,,,80.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Medium,,,{Standard}
Saucony Peregrine 12 ST,Neutral,High,Saucony,,,22.5,26.5,4.0,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Medium,,10.2,{Standard}
Brooks Ghost 7,Neutral,High,Brooks,,,,,12.0,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,10.3,{Standard}
New Balance FuelCore Nitrel Trail,Neutral,High,New Balance,,,,,,75.00,"{Supination, Underpronation, Neutral}",,{},Trail,,,9.7,{Standard}
Reebok Floatride Run Panthea,Neutral,High,Reebok,Plush,Semi-Flexible,,,8.0,130.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Narrow,,8.0,"{Standard, Wide}"
Merrell Nova 2 GTX,Neutral,High,Merrell,Balanced,Semi-Rigid,21.5,29.5,8.0,140.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Medium,Waterproof,9.9,{Standard}
Mizuno Wave Sonic,Neutral,High,Mizuno,,,16.0,20.0,4.0,100.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,7.8,{Standard}
Under Armour Charged Escape,Neutral,High,Under Armour,Plush,,,,10.0,90.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,9.1,{Standard}
Saucony Excursion TR 14,Neutral,High,Saucony,Balanced,,,,8.0,70.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,10.0,"{Standard, Wide}"
Saucony Excursion TR 12,Neutral,High,Saucony,,,17.0,25.0,8.0,70.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Trail,,,10.9,"{Standard, Wide}"
New Balance Fresh Foam Hierro v5,Neutral,High,New Balance,Plush,Balanced,,,8.0,135.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Medium,,10.5,"{Standard, Wide}"
Under Armour HOVR Infinite Camo,Neutral,High,Under Armour,Balanced,,,,8.0,120.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.8,{Standard}
Saucony Cortana 4,Stability,Low,Saucony,,,24.0,28.0,4.0,150.00,{Overpronation},,"{Forefoot, Midfoot}",Road,,,9.2,{Standard}
Nike Legend React,Neutral,High,Nike,Balanced,Semi-Flexible,17.0,26.0,9.0,100.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Narrow,,9.0,"{Narrow, Standard}"
Vibram FiveFingers V-Trail 2.0,Neutral,High,Vibram FiveFingers,,,5.0,5.0,0.0,120.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Trail,,Water Repellent,6.4,"{Narrow, Standard}"
Salomon S-Lab Phantasm,Neutral,High,Salomon,Balanced,Balanced,14.0,20.0,6.0,180.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.0,{Standard}
Salomon Alphacross 3 GTX,Neutral,High,Salomon,,,25.8,35.8,10.0,110.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Trail,,,11.3,{Standard}
Saucony Cohesion 12,Neutral,High,Saucony,Balanced,,17.0,29.0,12.0,60.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,,,9.3,{Standard}
Hoka Cavu 3,Neutral,High,Hoka,Plush,Semi-Flexible,25.0,30.0,5.0,120.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Medium,,7.2,{Standard}
ASICS Alpine XT,Neutral,High,ASICS,,,12.0,18.0,6.0,100.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Trail,,,11.1,{Standard}
Reebok Endless Road,Neutral,High,Reebok,,,,,,75.00,"{Supination, Underpronation, Neutral}",2019,{},Road,,,,"{Standard, Wide, Extra Wide}"
New Balance 587,Motion control,Low,New Balance,Firm,Semi-Rigid,,,12.0,145.00,{Severe Overpronation},,{Heel},Road,Wide,,15.0,{Standard}
Nike Flyknit Lunar 3,Neutral,High,Nike,,,18.0,28.0,10.0,150.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,7.7,{Standard}
PUMA Ignite Ultimate,Neutral,High,PUMA,,,,,12.0,125.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,12.3,{Standard}
ASICS Gel Flux 4,Neutral,High,ASICS,,,13.0,23.0,10.0,100.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,12.4,{Standard}
Altra King MT,Neutral,High,Altra,,,19.0,19.0,0.0,140.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Trail,Extra Wide,,10.2,{Standard}
Skechers GOrun Horizon,Neutral,High,Skechers,Plush,Semi-Flexible,,,4.0,85.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Medium,,8.3,{Standard}
